Sensor_ID,Press_Count,Max_Resistance_Change_Ohms,Avg_Resistance_Change_Ohms,Baseline_Resistance_Ohms,Max_Resistance_Ohms,Avg_Resistance_Ohms,Min_Resistance_Ohms
56,32,44329.009999999995,29478.26843750001,122862.01,167191.02,152340.2784375,136685.03
62,32,65782.31,34223.5565625,126864.97,192647.28,161088.5265625,143859.97
68,32,80639.84999999999,37770.67906250001,125954.73,206594.58,163725.4090625,144441.03
69,32,56085.580000000016,34076.454375000016,133594.3,189679.88,167670.75437500002,150502.45
85,32,79881.35999999999,37055.039062499985,138820.45,218701.81,175875.4890625,155704.97
87,32,123984.57000000004,70224.2771875,162702.02,286686.59,232926.2971875,191648.39
93,32,644588.22,411765.5021875,297844.91,942433.13,709610.4121874999,430305.09
135,32,75293.15999999999,45202.885,103337.61,178630.77,148540.495,128722.46
136,32,894267.34,418495.55781250005,94632.04,988899.38,513127.5978125,128722.46
138,32,209956.31999999998,169931.9115625,193656.09,403612.41,363588.00156249997,213700.14
141,32,747736.04,457701.39093750005,241163.34,988899.38,698864.7309375,339960.47
183,32,39105.62,23658.423125,59416.6,98522.22,83075.023125,70983.91
189,32,734428.27,329923.1309374999,165668.98,900097.25,495592.1109375,268514.44
231,32,23709.059999999998,14597.947187499998,38405.8,62114.86,53003.747187500005,46843.01
1196,32,182090.93,103656.40718749998,205453.95,387544.88,309110.3571875,229407.17
1292,32,729949.44,343762.59906250006,212483.69,942433.13,556246.2890625,235144.47
1485,32,804152.3300000001,264233.4421875,138280.8,942433.13,402514.2421875,154372.98
1629,32,440269.92,176470.15749999997,110700.96,550970.88,287171.1175,123295.2
1677,32,840950.5,171476.68468749998,101482.63,942433.13,272959.3146875,115134.95
1725,32,732641.98,203447.82749999998,128722.46,861364.44,332170.2875,146210.88
1773,32,792858.35,157973.9128125,107238.9,900097.25,265212.81281250005,126864.97
1821,32,698380.21,163256.633125,94632.04,793012.25,257888.673125,114753.04
1869,32,468932.73999999993,216980.375,123295.2,592227.94,340275.57499999995,158434.67
1917,32,832440.8200000001,201191.2878125,109992.31,942433.13,311183.59781249997,138820.45
2013,32,405960.37,185013.1265625,122862.01,528822.38,307875.13656250003,153062.25
2109,32,466761.37,201691.7315625,108256.51,575017.88,309948.2415625,133594.3
1944,31,480543.32,319627.13612903235,508356.06,988899.38,827983.1961290322,566776.38
2177,31,561500.78,202591.09483870972,403612.41,965113.19,606203.5048387095,450099.75
1210,31,630015.35,241553.61064516124,358884.03,988899.38,600437.6406451614,395419.56
64,31,36637.28000000001,19900.818709677424,115134.95,151772.23,135035.76870967745,126864.97
66,31,52133.25,31124.479354838706,128253.38,180386.63,159377.85935483873,142142.66
67,31,54000.490000000005,28327.867096774193,125504.14,179504.63,153832.0070967742,141018.91
51,31,44931.37000000001,29243.682580645167,120737.61,165668.98,149981.29258064518,135640.13
237,31,822526.39,246746.20774193548,119906.74,942433.13,366652.9477419355,183082.55
285,31,380031.36,165181.37419354837,103337.61,483368.97,268518.98419354844,144441.03
333,31,728834.8300000001,205346.12258064523,114373.48,843208.31,319719.6025806452,168739.63
525,31,698913.34,143447.3651612903,94098.91,793012.25,237546.2751612903,128722.46
573,31,674854.93,155738.77161290325,102712.45,777567.38,258451.22161290323,132592.78
621,31,463803.72,150565.0212903226,87167.16,550970.88,237732.1812903226,113621.23
717,31,288204.7,120165.41161290323,91765.55,379970.25,211930.96161290322,120737.61
765,31,251949.99999999997,115457.86193548387,94098.91,346048.91,209556.77193548385,122431.63
813,31,616048.28,127613.45935483869,105255.28,721303.56,232868.73935483868,129670.22
861,31,835862.97,162833.16709677418,106570.16,942433.13,269403.3270967742,143283.25
909,31,689042.54,162464.99548387094,103969.71,793012.25,266434.705483871,134609.98
1005,31,747682.56,321293.094516129,152414.69,900097.25,473707.7845161291,195704.14
1008,31,42261.6,25222.679354838707,49758.04,92019.64,74980.71935483871,55306.31
1010,31,40724.130000000005,23385.830322580645,48810.25,89534.38,72196.08032258066,54176.42
1045,31,44868.25,27610.506774193545,49496.55,94364.8,77107.05677419357,54994.24
1046,31,48168.71000000001,27138.59096774194,47001.92,95170.63,74140.51096774194,53576.4
1047,31,42849.79,23062.77290322581,50199.01,93048.8,73261.7829032258,55306.31
1049,31,79234.22000000002,46213.467419354856,79896.98,159131.2,126110.44741935482,97381.57
1052,31,172251.45999999996,95046.27387096774,123295.2,295546.66,218341.47387096775,164172.88
1053,31,626585.52,324876.12096774194,166426.73,793012.25,491302.85096774204,218701.81
1094,31,38616.71000000001,22530.329354838712,44561.25,83177.96,67091.57935483872,49670.62
1097,31,61286.369999999995,27194.745806451618,71306.41,132592.78,98501.15580645161,85352.86
1100,31,106558.15,57949.49870967742,112143.66,218701.81,170093.15870967743,138820.45
1101,31,827643.63,312112.7967741936,161255.75,988899.38,473368.5467741936,211280.41
1141,31,45222.14,19317.210645161293,57802.03,103024.17,77119.24064516128,65586.65
1143,31,58712.22,23891.69806451614,60374.14,119086.36,84265.83806451612,67158.02
1148,31,151105.62999999998,61305.820967741936,144441.03,295546.66,205746.85096774192,161255.75
1149,31,795243.29,282792.8858064516,193656.09,988899.38,476448.97580645164,257587.41
1156,31,28305.22,15449.286129032262,80294.42,108599.64,95743.70612903225,88336.55
1162,31,29897.039999999994,16983.011935483868,80095.27,109992.31,97078.28193548389,89051.75
1163,31,28161.23999999999,16223.965483870967,80095.27,108256.51,96319.23548387096,88573.8
1164,31,27006.59000000001,15677.518064516134,79896.98,106903.57,95574.49806451613,89051.75
1189,31,42434.600000000006,24202.88967741936,85352.86,127787.46,109555.74967741934,95170.63
1192,31,765487.27,402096.7670967741,134609.98,900097.25,536706.7470967742,155704.97
1197,31,594732.69,335811.02290322585,266631.75,861364.44,602442.7729032256,342978.47
1248,31,606528.53,177959.26258064515,77583.78,684112.31,255543.0425806452,85352.86
1288,31,812762.91,537578.9951612904,129670.22,942433.13,667249.2151612906,161255.75
1289,31,812762.91,258793.96967741934,129670.22,942433.13,388464.1896774194,161255.75
1293,31,495167.34,295984.45870967733,297844.91,793012.25,593829.3687096774,407834.16
1341,31,709994.22,238980.5529032258,170315.53,880309.75,409296.08290322596,225277.3
1389,31,865604.18,244275.00129032257,123295.2,988899.38,367570.2012903226,157058.67
1437,31,715748.0,255697.3761290323,145616.44,861364.44,401313.81612903235,182175.47
1533,31,657660.64,214918.08064516133,119906.74,777567.38,334824.82064516126,145616.44
1243,30,507631.03,196739.69100000002,372678.72,880309.75,569418.4110000001,425619.72
1932,30,396671.44000000006,174574.57133333344,592227.94,988899.38,766802.5113333332,661350.38
1958,30,258320.81999999995,179110.09433333323,684112.31,942433.13,863222.4043333333,777567.38
1211,30,534442.4099999999,201909.45999999996,365654.84,900097.25,567564.3000000002,403612.41
1941,30,302399.44000000006,173364.02433333348,640033.69,942433.13,813397.7143333333,734602.25
2142,30,454684.25,210388.159,322883.13,777567.38,533271.2890000001,365654.84
1213,30,630015.35,229229.338,358884.03,988899.38,588113.368,403612.41
53,30,52133.25,30927.086999999996,128253.38,180386.63,159180.46700000003,145026.52
61,30,46687.16,29593.611,126864.97,173552.13,156458.58100000003,142142.66
71,30,51405.44,31987.791666666668,132592.78,183998.22,164580.57166666666,151134.84
182,30,131760.43000000002,26221.503666666664,63943.71,195704.14,90165.21366666668,70663.95
37,30,16129.330000000002,9198.394999999999,44488.33,60617.66,53686.725,49758.04
381,30,378437.77999999997,138521.306,104931.19,483368.97,243452.49599999996,150502.45
429,30,679391.02,150413.63933333335,113621.23,793012.25,264034.8693333334,162702.02
477,30,448771.62999999995,146711.64966666666,109992.31,558763.94,256703.9596666667,145026.52
669,30,216432.16,106937.01900000003,98522.22,314954.38,205459.23900000003,115905.77
957,30,854799.04,222213.33500000002,134100.34,988899.38,356313.675,154372.98
998,30,59592.38999999999,24936.860999999997,47646.51,107238.9,72583.371,52793.59
999,30,43895.59999999999,24393.197333333326,46371.55,90267.15,70764.74733333333,52029.78
1001,30,55428.58,24631.031333333332,66150.61,121579.19,90781.6413333333,75030.93
1004,30,102624.86999999998,47036.30699999999,103969.71,206594.58,151006.017,120320.87
1009,30,41017.270000000004,25433.071333333326,49496.55,90513.82,74929.62133333334,54582.74
1011,30,43982.42,23032.140333333333,50918.22,94900.64,73950.36033333332,56260.74
1014,30,35270.82000000001,22563.098333333335,47484.0,82754.82,70047.09833333334,52600.88
1015,30,40156.86,24496.08866666667,47241.95,87398.81,71738.03866666666,54176.42
1016,30,35173.780000000006,24023.088000000003,47161.71,82335.49,71184.798,52504.97
1019,30,38767.47,23930.357333333333,47484.0,86251.47,71414.35733333333,52793.59
1021,30,43468.25,27152.70899999999,43698.91,87167.16,70851.61899999999,48810.25
1054,30,152692.37000000002,71923.229,136160.72,288853.09,208083.94899999996,153715.0
1055,30,152692.37000000002,71923.229,136160.72,288853.09,208083.94899999996,153715.0
1061,30,26444.409999999996,17127.033000000003,40568.07,67012.48,57695.103,46061.56
1065,30,27055.9,16415.104333333333,38811.68,65867.58,55226.784333333344,43840.75
1093,30,27882.83,18196.160333333337,45754.95,73637.78,63951.11033333334,50918.22
1095,30,30838.209999999992,21055.625333333326,46371.55,77209.76,67427.17533333333,51654.79
1107,30,25809.340000000004,14044.293333333337,54685.13,80494.47,68729.42333333334,60374.14
1110,30,35109.219999999994,14228.454000000002,50466.71,85575.93,64695.164,55516.03
1111,30,33070.95999999999,13956.556333333332,52504.97,85575.93,66461.52633333333,57802.03
1112,30,32880.020000000004,13617.853666666671,52029.78,84909.8,65647.63366666668,57354.41
1115,30,33199.18,13370.394999999999,52600.88,85800.06,65971.275,57914.87
1118,30,37972.630000000005,17132.647666666668,51561.75,89534.38,68694.39766666667,56912.64
1123,30,48500.380000000005,15377.720333333336,50021.84,98522.22,65399.56033333333,55833.13
1126,30,42286.899999999994,13657.195999999996,51284.3,93571.2,64941.496000000014,56476.62
1140,30,34133.329999999994,13173.971666666663,50556.48,84689.81,63730.451666666675,56046.25
1147,30,40412.00000000001,14403.474666666669,51100.71,91512.71,65504.18466666666,56585.1
1252,30,408690.67,158445.93033333338,74678.3,483368.97,233124.23033333334,82335.49
1280,30,738841.5,192667.57033333334,161255.75,900097.25,353923.3203333334,177764.91
1335,30,47570.21000000001,22295.584000000006,65307.78,112877.99,87603.36400000002,72622.48
1340,30,102360.82999999999,53208.381999999976,151772.23,254133.06,204980.61200000002,167191.02
1388,30,56564.69,31078.352000000003,89051.75,145616.44,120130.10199999998,100279.32
1947,30,422123.0,342728.17799999996,566776.38,988899.38,909504.5579999998,640033.69
1158,30,30066.630000000005,15447.149666666672,78533.01,108599.64,93980.15966666666,87167.16
1173,30,31266.979999999996,22059.486666666668,78725.33,109992.31,100784.81666666667,87865.42
2149,30,523807.16,240743.31399999995,376290.09,900097.25,617033.404,416541.69
1928,29,246351.25,206485.90310344828,696081.88,942433.13,902567.7831034482,777567.38
2179,29,469559.1599999999,166371.5089655172,495554.03,965113.19,661925.5389655171,550970.88
2112,29,337682.72,194742.73793103447,455329.53,793012.25,650072.2679310343,508356.06
2137,29,530963.0,227537.77827586202,369134.25,900097.25,596672.0282758621,421032.91
1294,29,739783.86,315119.6172413793,249115.52,988899.38,564235.1372413794,276308.56
1295,29,739783.86,315119.6172413793,249115.52,988899.38,564235.1372413794,276308.56
2133,29,558594.29,309909.3979310344,430305.09,988899.38,740214.4879310345,477494.09
2145,29,465944.87999999995,177337.46724137932,395419.56,861364.44,572757.0272413793,435092.38
119,29,29387.540000000008,15699.852758620693,89292.48,118680.02,104992.33275862067,98811.18
133,29,35151.26000000001,19327.174482758623,93571.2,128722.46,112898.37448275863,103969.71
1225,29,582542.25,252307.70655172414,317555.0,900097.25,569862.7065517241,372678.72
59,29,42062.149999999994,25255.348275862063,128253.38,170315.53,153508.72827586211,142710.81
82,29,71464.78,29578.68310344828,141018.91,212483.69,170597.59310344825,158434.67
83,29,49170.82999999999,26928.59068965517,136685.03,185855.86,163613.62068965516,151772.23
86,29,291939.96,89574.60344827584,168739.63,460679.59,258314.2334482759,187749.41
186,29,878198.42,462805.1103448276,110700.96,988899.38,573506.0703448276,126864.97
997,29,33198.81,17009.932068965518,42726.61,75925.42,59736.54206896551,48389.29
1012,29,49075.76000000001,25040.519999999997,48305.81,97381.57,73346.33000000002,55201.96
1013,29,39315.649999999994,24486.56137931034,49496.55,88812.2,73983.11137931036,54582.74
1017,29,36818.04000000001,23418.190689655174,47001.92,83819.96,70420.11068965516,52124.24
1018,29,42290.56,25650.790344827587,47001.92,89292.48,72652.71034482759,52124.24
1020,29,35448.119999999995,26828.364137931036,44054.89,79503.01,70883.25413793104,50287.98
1024,29,42532.46000000001,29395.403103448283,47001.92,89534.38,76397.32310344826,54176.42
1027,29,35855.55,25898.855172413783,47322.41,83177.96,73221.2651724138,53280.57
1035,29,29582.89,21674.8575862069,44054.89,73637.78,65729.7475862069,49151.41
1037,29,34597.53999999999,24084.967931034476,47322.41,81919.95,71407.37793103448,52600.88
1038,29,45237.71000000001,26937.5551724138,46527.84,91765.55,73465.39517241379,52124.24
1039,29,40037.83,30267.643448275856,49496.55,89534.38,79764.19344827585,55621.39
1041,29,36303.509999999995,23789.06620689655,49496.55,85800.06,73285.61620689655,55621.39
1050,29,879258.29,502397.515862069,109641.09,988899.38,612038.605862069,122431.63
1051,29,32468.89,23866.120689655174,46449.59,78918.48,70315.71068965517,51468.98
1056,29,30009.489999999998,16906.233793103445,43628.29,73637.78,60534.52379310345,48980.34
1057,29,29865.079999999994,17499.64068965517,42590.57,72455.65,60090.21068965517,48473.0
1058,29,30299.660000000003,15732.768620689652,42658.5,72958.16,58391.268620689654,48222.58
1059,29,32147.889999999992,15914.599655172411,43417.48,75565.37,59332.07965517241,49409.89
1060,29,36023.770000000004,17287.348965517245,40630.89,76654.66,57918.238965517245,46922.36
1062,29,21990.019999999997,15641.22965517241,40380.55,62370.57,56021.77965517242,46061.56
1063,29,24676.89,16080.09448275862,40630.89,65307.78,56710.98448275861,46606.3
1064,29,24188.1,15924.466206896552,40568.07,64756.17,56492.53620689655,46061.56
1066,29,27379.420000000006,17733.099655172413,39343.6,66723.02,57076.69965517241,46216.13
1067,29,24829.659999999996,16049.06724137931,40756.99,65586.65,56806.0572413793,47001.92
1068,29,24079.9,16081.504137931039,40132.67,64212.57,56214.17413793103,45602.89
1070,29,27624.32,18615.327586206895,40568.07,68192.39,59183.3975862069,45602.89
1072,29,27833.57,19030.524137931032,41267.73,69101.3,60298.254137931035,46527.84
1073,29,22483.36,16496.79620689655,39887.21,62370.57,56384.006206896556,44928.77
1075,29,22815.559999999998,16663.55551724138,41397.01,64212.57,58060.565517241375,47565.14
1078,29,21214.240000000005,14425.120000000003,39403.42,60617.66,53828.539999999986,44854.87
1085,29,18785.71,13507.315172413792,40630.89,59416.6,54138.205172413785,45907.83
1089,29,18614.979999999996,13951.765172413794,41397.01,60011.99,55348.775172413785,47001.92
1098,29,801575.03,477038.2610344827,98522.22,900097.25,575560.4810344828,109992.31
1099,29,19611.97,14134.493103448274,40883.72,60495.69,55018.21310344827,45907.83
1102,29,89276.38,42734.833793103455,122004.03,211280.41,164738.86379310343,134609.98
1103,29,89276.38,42734.833793103455,122004.03,211280.41,164738.86379310343,134609.98
1104,29,41618.200000000004,15746.548620689657,55201.96,96820.16,70948.50862068965,61608.8
1105,29,39922.490000000005,16232.335517241381,54176.42,94098.91,70408.75551724137,61358.41
1106,29,34082.280000000006,14995.90379310345,53084.88,87167.16,68080.78379310344,61358.41
1108,29,32412.609999999993,15840.084482758617,51192.37,83604.98,67032.45448275862,58715.34
1109,29,31911.68,15827.129655172415,52124.24,84035.92,67951.3696551724,59892.09
1113,29,35784.76,13708.43827586207,50466.71,86251.47,64175.14827586206,56260.74
1114,29,38981.020000000004,14280.468620689659,52029.78,91010.8,66310.24862068966,57802.03
1116,29,31523.170000000006,13579.489999999998,51654.79,83177.96,65234.28,58255.64
1117,29,33842.12,13772.94586206897,52409.35,86251.47,66182.29586206898,59298.73
1119,29,34423.56,14391.353793103446,51376.5,85800.06,65767.85379310345,57577.48
1120,29,46500.780000000006,18256.791034482765,52600.88,99101.66,70857.67103448276,59653.54
1121,29,35788.92,14419.948965517242,50918.22,86707.14,65338.168965517245,57577.48
1122,29,32123.260000000002,15036.732413793103,43983.32,76106.58,59020.05241379311,49933.65
1125,29,43638.73,15171.10034482758,49670.62,93309.35,64841.72034482759,55939.52
1131,29,29941.519999999997,12492.900689655171,49758.04,79699.56,62250.94068965517,56260.74
1134,29,28541.259999999995,13981.944137931032,50377.22,78918.48,64359.16413793103,55939.52
1135,29,42327.490000000005,17375.396206896556,55621.39,97948.88,72996.78620689655,62499.11
1138,29,35422.84,12075.287586206896,50377.22,85800.06,62452.507586206906,55833.13
1146,29,821276.08,489309.9179310344,121157.05,942433.13,610466.9679310345,139364.05
1166,29,33985.82000000001,19959.750000000004,81919.95,115905.77,101879.70000000001,91261.14
1167,29,26472.380000000005,14634.085172413803,82127.26,108599.64,96761.34517241378,90513.82
1168,29,31869.850000000006,20401.17724137931,84035.92,115905.77,104437.09724137932,93834.39
1174,29,24960.86,16516.61931034483,80294.42,105255.28,96811.03931034483,89534.38
1187,29,17307.009999999995,11513.808620689653,68493.05,85800.06,80006.85862068966,75386.48
1194,29,826197.36,530020.6327586207,162702.02,988899.38,692722.6527586209,180386.63
1251,29,415657.05000000005,163988.2665517241,79896.98,495554.03,243885.24655172415,91261.14
1256,29,431701.4,153990.13517241378,76654.66,508356.06,230644.7951724138,84909.8
1260,29,365306.61,146590.0924137931,74678.3,439984.91,221268.39241379307,82754.82
1266,29,364154.48000000004,113029.34482758622,66150.61,430305.09,179179.9548275862,72958.16
1268,29,385648.66000000003,135710.52689655175,75030.93,460679.59,210741.45689655177,83819.96
1269,29,376461.97,128888.25275862069,73637.78,450099.75,202526.03275862074,84035.92
1270,29,431146.3,134573.79586206898,77209.76,508356.06,211783.555862069,86478.77
1271,29,321703.0,121054.0817241379,77772.0,399475.0,198826.08172413797,86251.47
1272,29,319312.98,130204.49931034482,76106.58,395419.56,206311.0793103448,86707.14
1273,29,387041.81000000006,125000.36862068968,73637.78,460679.59,198638.14862068967,82544.69
1276,29,397079.04000000004,136880.4924137931,74678.3,471757.34,211558.79241379313,83390.98
1278,29,357346.93000000005,144669.12551724137,72958.16,430305.09,217627.2855172414,80294.42
1279,29,468635.39,160655.68620689656,82335.49,550970.88,242991.17620689652,91512.71
1281,29,567342.23,147251.13620689657,83177.96,650520.19,230429.09620689656,93309.35
1285,29,594090.6100000001,176653.32965517242,90021.7,684112.31,266675.02965517243,101482.63
1287,29,694777.47,232011.7641379311,98234.78,793012.25,330246.5441379311,110700.96
1333,29,27304.809999999998,15047.175862068967,61987.67,89292.48,77034.84586206896,68493.05
1868,29,46383.28,26754.265862068965,89777.44,136160.72,116531.705862069,98811.18
1949,29,452891.06999999995,347358.76758620684,536008.31,988899.38,883367.0775862067,672541.69
1025,29,35858.39,24975.97241379311,46061.56,81919.95,71037.5324137931,51654.79
1033,29,28595.270000000004,21871.30724137931,45907.83,74503.1,67779.13724137931,51100.71
1183,29,35925.2,22820.731724137928,82754.82,118680.02,105575.55172413791,92531.65
1950,29,473896.19,302186.6644827586,515003.19,988899.38,817189.8544827586,566776.38
2018,29,143216.75,102237.65344827584,777567.38,920784.13,879805.0334482761,861364.44
2176,29,439417.66,247881.37448275858,460679.59,900097.25,708560.9644827585,528822.38
2027,29,254297.13,249490.27655172412,734602.25,988899.38,984092.526551724,942433.13
2028,29,240505.81999999995,195868.65551724136,748393.56,988899.38,944262.2155172412,900097.25
1938,28,304787.06999999995,193486.65142857138,684112.31,988899.38,877598.9614285715,762705.19
89,28,97343.28999999998,35404.31142857142,151772.23,249115.52,187176.54142857142,167191.02
140,28,86835.17000000001,49702.45535714284,126864.97,213700.14,176567.42535714287,145026.52
1222,28,642850.47,244664.32071428577,346048.91,988899.38,590713.2307142857,387544.88
2026,28,117604.56000000006,116279.50857142863,762705.19,880309.75,878984.6985714287,843208.31
55,28,49119.490000000005,29803.221428571425,127787.46,176906.95,157590.68142857144,143859.97
60,28,40604.399999999994,25387.740357142855,134609.98,175214.38,159997.72035714288,150502.45
63,28,41874.66,26053.447500000002,126864.97,168739.63,152918.4175,139911.63
81,28,57959.090000000026,27839.201785714304,137745.05,195704.14,165584.25178571432,153062.25
1040,28,281798.33,85008.54714285715,113621.23,395419.56,198629.7771428572,126864.97
1124,28,37785.84,13963.109642857142,49845.72,87631.56,63808.82964285715,56260.74
1129,28,31924.660000000003,12099.587500000005,49583.45,81508.11,61683.03749999999,55306.31
1130,28,32509.200000000004,10992.672500000002,46216.13,78725.33,57208.8025,51468.98
1132,28,25580.96,11112.842142857144,48056.82,73637.78,59169.66214285714,53975.16
1139,28,28718.130000000005,11627.907500000003,48305.81,77023.94,59933.717499999984,53975.16
1161,28,24960.86,13473.31642857143,80294.42,105255.28,93767.73642857141,88573.8
1165,28,28010.09999999999,15574.664999999995,82335.49,110345.59,97910.155,91512.71
1176,28,21345.800000000003,14223.755714285711,78341.52,99687.32,92565.27571428574,87167.16
1676,28,39466.39,20422.394642857143,74154.84,113621.23,94577.23464285713,81919.95
1724,28,51770.53999999999,30569.192499999997,91512.71,143283.25,122081.9025,102094.18
1962,28,452891.06999999995,440431.58107142855,536008.31,988899.38,976439.8910714284,640033.69
2036,28,254297.13,244204.6007142857,734602.25,988899.38,978806.8507142855,861364.44
2108,28,35834.56,22362.838571428576,78918.48,114753.04,101281.31857142858,88573.8
1153,28,24065.160000000003,14157.09857142858,85575.93,109641.09,99733.02857142857,94364.8
1190,28,43333.11,21331.423571428575,67012.48,110345.59,88343.90357142853,75745.02
2033,28,254297.13,233088.84107142853,734602.25,988899.38,967691.0910714285,843208.31
974,28,27608.910000000003,16581.51535714286,34252.03,61860.94,50833.545357142866,39765.37
976,28,28514.11,16305.62892857143,36793.67,65307.78,53099.29892857142,44415.61
979,28,22444.5,13738.59928571429,37447.59,59892.09,51186.18928571429,42863.36
981,28,22967.11,13425.296071428573,36686.43,59653.54,50111.72607142855,43840.75
1002,28,800409.9299999999,456144.3060714285,99687.32,900097.25,555831.6260714285,119086.36
1022,28,42691.37,28771.266071428567,46843.01,89534.38,75614.27607142857,58715.34
1023,28,36594.36,25215.521071428575,46371.55,82965.91,71587.07107142858,54787.84
1026,28,29040.920000000006,21204.447142857145,42590.57,71631.49,63795.017142857134,50918.22
1029,28,28134.149999999994,18106.207857142854,44488.33,72622.48,62594.53785714286,50466.71
1030,28,33357.53,23120.151428571433,45754.95,79112.48,68875.10142857143,53975.16
1032,28,28367.82,21838.59214285715,44928.77,73296.59,66767.36214285715,52600.88
1034,28,28345.869999999995,20638.244285714285,44781.16,73127.03,65419.4042857143,53378.87
1036,28,32659.999999999993,24496.71892857143,46843.01,79503.01,71339.72892857144,57577.48
1042,28,29668.299999999996,21469.892500000005,43628.29,73296.59,65098.1825,51100.71
1043,28,29749.530000000006,21449.28107142858,44928.77,74678.3,66378.05107142856,52793.59
1044,28,32895.06,23979.122142857144,47001.92,79896.98,70981.04214285714,57465.76
1069,28,27513.5,16939.697499999995,40380.55,67894.05,57320.2475,50556.48
1071,28,24912.82,16441.890714285713,40256.3,65169.12,56698.190714285716,51654.79
1074,28,18242.57,14108.141785714282,35234.91,53477.48,49343.051785714284,46216.13
1080,28,14166.280000000006,10096.96178571429,34985.13,49151.41,45082.09178571428,40505.41
1081,28,17021.449999999997,11775.983214285716,38811.68,55833.13,50587.66321428572,45301.25
